LC_Control,LC_Abx,HC_Control,HC_Abx
8,6,18,19
6,8,11,16
7,17,15,22
3,13,5,22
11,14,12,17
10,15,22,27
13,13,17,10
16,24,14,
11,4,11,21
10,15,29,14
16,5,21,30
,6,,26
16,5,13,21
1,13,10,20
11,12,21,11
18,10,31,17
9,13,29,14
9,12,15,9
5,9,15,17
3,9,9,16
10,1,,9
6,9,9,12
10,16,11,32
10,4,25,16
13,16,18,23
,15,,23
13,6,19,27
6,2,25,9
15,10,19,30
5,13,20,17
9,17,16,12
24,11,20,28
18,9,20,14
9,6,15,7
12,4,21,20
11,6,37,11
15,,28,
3,,8,
12,,34,
15,,30,
10,,6,
9,,15,
9,,23,
7,,15,
8,,18,
11,,27,
,,,
4,,24,
5,,18,
9,,11,
16,,10,
3,,8,
7,,10,
9,,8,
3,,32,
7,,15,
6,,6,
7,,6,
5,,14,
,,,
7,,13,
6,,14,
14,,17,
1,,12,
7,,20,
16,,17,
23,,28,
1,,11,
7,,16,
2,,8,
13,,22,
9,,18,
8,,12,
20,,31,
7,,14,
12,,27,
14,,14,
10,,19,
,,,
16,,,
3,,19,
8,,27,
12,,27,
7,,14,
8,,13,
11,,,
22,,38,
13,,36,
10,,31,
12,,32,
10,,31,
9,,29,
10,,31,
10,,31,
13,,37,
8,,28,
5,,15,
8,,28,
4,,15,
9,,19,
10,,31,
,,18,
5,,11,
11,,15,
9,,5,
15,,12,
21,,22,
15,,17,
15,,14,
22,,11,
6,,29,
25,,21,
9,,,
11,,13,
9,,10,
18,,21,
23,,31,
13,,29,
14,,15,
10,,15,
8,,9,
7,,,
15,,9,
4,,11,
5,,25,
2,,18,
11,,,
8,,19,
12,,25,
5,,19,
6,,20,
11,,16,
9,,20,
,,20,
11,,15,
22,,21,
3,,37,
11,,28,
6,,8,
11,,34,
14,,30,
13,,6,
13,,15,
9,,23,
10,,15,
,,18,
,,27,
,,,
,,24,
,,18,
,,11,
,,10,
,,8,
,,10,
,,8,
,,32,
,,15,
,,6,
,,6,
,,14,
,,,
,,13,
,,14,
,,17,
,,12,
,,20,
,,17,
,,28,
,,11,
,,16,
,,8,
,,22,
,,18,
,,12,
,,31,
,,14,
,,27,
,,14,
,,19,
,,,
,,,
,,19,
,,27,
,,27,
,,14,
,,13,
,,,
,,38,
,,36,
,,31,
,,32,
,,31,
,,29,
,,31,
,,31,
,,37,
,,28,
,,15,
,,28,
,,15,
,,19,
,,31,
,,28,
,,27,
,,28,
,,17,
,,35,
,,13,
,,20,
,,17,
,,19,
,,35,
,,22,
,,20,
,,22,
,,41,
,,18,
,,14,
,,13,
,,14,
,,13,
,,18,
,,28,
,,13,
,,23,
,,17,
,,19,
,,16,
,,,
,,35,
,,25,
,,17,
,,17,
,,15,
,,30,
,,14,
,,15,
,,27,
,,15,
,,17,
,,,
