Description,log2_diff,p
Solute carrier family 25 member 39 OS=Homo sapiens OX=9606 GN=SLC25A39 PE=2 SV=2,3.79361579,5.38408E-05
"5-aminolevulinate synthase, nonspecific, mitochondrial OS=Homo sapiens OX=9606 GN=ALAS1 PE=1 SV=2",2.844564,5.81013E-07
Heme oxygenase 1 OS=Homo sapiens OX=9606 GN=HMOX1 PE=1 SV=1,2.254875667,8.69954E-06
G2/mitotic-specific cyclin-B1 OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1,2.043925667,0.000167968
"Lon protease homolog 2, peroxisomal OS=Homo sapiens OX=9606 GN=LONP2 PE=1 SV=1",1.893506667,4.57562E-06
Mitochondrial inner membrane protease ATP23 homolog OS=Homo sapiens OX=9606 GN=ATP23 PE=1 SV=3,1.582786667,0.003015285
Bax inhibitor 1 (Fragment) OS=Homo sapiens OX=9606 GN=TMBIM6 PE=1 SV=1,1.575043333,0.000185404
"ATP synthase-coupling factor 6, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PF PE=1 SV=1",1.571957,0.000637448
Galectin-3-binding protein OS=Homo sapiens OX=9606 GN=LGALS3BP PE=1 SV=1,1.502694667,4.08073E-05
60 kDa SS-A/Ro ribonucleoprotein OS=Homo sapiens OX=9606 GN=TROVE2 PE=1 SV=2,1.451533333,8.57068E-05
"Endonuclease G, mitochondrial OS=Homo sapiens OX=9606 GN=ENDOG PE=1 SV=4",1.433446667,0.00020363
Programmed cell death protein 4 OS=Homo sapiens OX=9606 GN=PDCD4 PE=1 SV=2,1.393372,0.003361176
Cystine/glutamate transporter OS=Homo sapiens OX=9606 GN=SLC7A11 PE=1 SV=1,1.344997,0.000634784
Mitoferrin-2 OS=Homo sapiens OX=9606 GN=SLC25A28 PE=2 SV=1,1.32694,0.000915197
Cytochrome c oxidase copper chaperone OS=Homo sapiens OX=9606 GN=COX17 PE=1 SV=2,1.310578,0.000241891
Transmembrane gamma-carboxyglutamic acid protein 1 OS=Homo sapiens OX=9606 GN=PRRG1 PE=1 SV=1,1.294546667,0.000611071
Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3,1.273796667,0.004239828
"Coenzyme Q-binding protein COQ10 homolog B, mitochondrial OS=Homo sapiens OX=9606 GN=COQ10B PE=1 SV=1",1.270904,0.00033089
Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=2,1.259774,0.003089607
Mucin-like protein 1 OS=Homo sapiens OX=9606 GN=MUCL1 PE=1 SV=1,1.220047333,0.002056673
"Protein PET100 homolog, mitochondrial OS=Homo sapiens OX=9606 GN=PET100 PE=1 SV=1",1.158974333,1.69821E-05
"Ornithine aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=OAT PE=1 SV=1",1.158913333,1.84957E-05
Zinc finger protein 706 OS=Homo sapiens OX=9606 GN=ZNF706 PE=1 SV=1,1.155563333,0.003021935
Tumor protein D53 OS=Homo sapiens OX=9606 GN=TPD52L1 PE=1 SV=1,1.140158333,0.001017382
Perilipin-4 OS=Homo sapiens OX=9606 GN=PLIN4 PE=1 SV=2,1.115724667,0.008993437
Protein regulator of cytokinesis 1 OS=Homo sapiens OX=9606 GN=PRC1 PE=1 SV=2,1.093576333,0.000557055
"Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5",1.089923333,0.196797751
Anthrax toxin receptor 1 (Fragment) OS=Homo sapiens OX=9606 GN=ANTXR1 PE=1 SV=1,1.08801,0.000134194
"Glutaredoxin-2, mitochondrial OS=Homo sapiens OX=9606 GN=GLRX2 PE=1 SV=1",1.0617402,0.000417151
Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2,1.04439,5.50577E-05
Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens OX=9606 GN=VAT1 PE=1 SV=2,1.040824667,0.002764771
Voltage-gated potassium channel subunit beta-2 OS=Homo sapiens OX=9606 GN=KCNAB2 PE=1 SV=2,1.030473333,0.008689441
"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",1.018126667,0.207336487
Trypsin-3 OS=Homo sapiens OX=9606 GN=PRSS3 PE=1 SV=2,1.014133333,0.003487073
HCG2044781 OS=Homo sapiens OX=9606 GN=TMEM189-UBE2V1 PE=4 SV=1,1.008826,3.22411E-05
"Glutaminase kidney isoform, mitochondrial OS=Homo sapiens OX=9606 GN=GLS PE=1 SV=1",0.992877667,0.000492934
Epoxide hydrolase 1 OS=Homo sapiens OX=9606 GN=EPHX1 PE=1 SV=1,0.987369333,7.7681E-05
26S proteasome non-ATPase regulatory subunit 4 (Fragment) OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1,0.97336,0.010512057
Endophilin-B1 OS=Homo sapiens OX=9606 GN=SH3GLB1 PE=1 SV=1,0.968666667,0.001855717
Hexokinase-2 OS=Homo sapiens OX=9606 GN=HK2 PE=1 SV=2,0.93362,0.00017936
Cytosolic phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G4A PE=1 SV=2,0.931787667,0.048702629
Kinesin-like protein KIF2C OS=Homo sapiens OX=9606 GN=KIF2C PE=1 SV=2,0.926873333,0.003020245
Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2,0.924363,0.00108706
Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,0.922679667,0.019505646
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 OS=Homo sapiens OX=9606 GN=GNG5 PE=1 SV=3,0.917443333,5.37398E-05
26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1,0.908583333,0.00379715
Importin subunit alpha-1 OS=Homo sapiens OX=9606 GN=KPNA2 PE=1 SV=1,0.90856,0.003358106
Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,0.900266667,0.001819225
Decaprenyl-diphosphate synthase subunit 1 OS=Homo sapiens OX=9606 GN=PDSS1 PE=1 SV=1,0.899403667,0.000493749
Transmembrane protein 263 OS=Homo sapiens OX=9606 GN=TMEM263 PE=1 SV=1,0.897246667,0.003509581
Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2,0.887140333,0.002288177
Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1,0.873163333,0.018529446
Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=1,0.8688767,0.000420426
Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,0.86541,0.00123184
Proteasome subunit alpha type (Fragment) OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1,0.864450333,0.001044061
Kinesin-like protein KIF11 OS=Homo sapiens OX=9606 GN=KIF11 PE=1 SV=2,0.86044,0.004585414
Fatty aldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1,0.856436667,8.77955E-05
26S proteasome regulatory subunit 10B OS=Homo sapiens OX=9606 GN=PSMC6 PE=1 SV=1,0.852809,0.003602352
Glutamate--cysteine ligase regulatory subunit OS=Homo sapiens OX=9606 GN=GCLM PE=1 SV=1,0.846423333,0.000972694
26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens OX=9606 GN=PSMD13 PE=1 SV=1,0.843403667,0.003945905
"Putative coiled-coil-helix-coiled-coil-helix domain-containing protein CHCHD2P9, mitochondrial OS=Homo sapiens OX=9606 GN=CHCHD2P9 PE=5 SV=1",0.836203333,0.002833576
26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2,0.835773633,0.001563089
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS6 PE=1 SV=1",0.835623667,0.001535156
"Complex I assembly factor TIMMDC1, mitochondrial OS=Homo sapiens OX=9606 GN=TIMMDC1 PE=1 SV=2",0.827395,1.2732E-05
Peroxisomal leader peptide-processing protease OS=Homo sapiens OX=9606 GN=TYSND1 PE=1 SV=3,0.82252,4.19329E-06
Collagen alpha-1(V) chain OS=Homo sapiens OX=9606 GN=COL5A1 PE=1 SV=3,0.818114333,0.000124585
Mitochondrial import inner membrane translocase subunit Tim17-A OS=Homo sapiens OX=9606 GN=TIMM17A PE=1 SV=1,0.813296667,0.185643843
